Priority,Work,Deadline,,
2,6455,250,,
2,30130,250,,
2,344,250,,
2,102,250,,
2,5735,250,,
2,5756,250,,
1,5797,250,,
0,5881,250,,
2,6047,250,,
2,4307,250,,
2,7767,250,,
2,14688,250,,
2,7183,250,,
1,7400,250,,
1,7834,250,,
1,8701,250,,
1,8701,250,,
1,8126,250,,
1,8126,250,,
0,8482,250,,
0,9192,250,,
0,9192,250,,
2,3367,500,,
2,3367,500,,
2,3367,500,,
2,3367,500,,
2,3367,500,,
2,3217,250,,
2,3518,250,,
2,3636,250,,
2,5191,250,,
2,150,250,,
2,3191,250,,
2,5112,250,,
2,505,250,,
2,591,250,,
2,2480,250,,
2,199,250,,
2,690,250,,
